month,day,neighborhood,crosswalk_wait_sec,litter_density_per_100m2,midnight_noise_db,atm_queue_length,vacant_storefronts_pct,dog_walk_freq_per_hr,graffiti_turnover_days,stress_index
Jan,8,Kodambakkam,28.17,3.85,54.3,1.9,11.3,1.04,6,Med
Jan,9,Korattur,53.78,9.26,62.1,2.6,18.6,0.37,24,High
Jan,9,Velachery,34.53,4.09,53.6,2.2,9.1,1.25,6,Med
Jan,9,Adyar,18.74,1.45,47.5,0.8,4.3,2.65,2,Low
Jan,9,Ambattur,62.47,13.02,65.5,5.3,24.0,0.17,34,High
Jan,9,Nungambakkam,23.65,2.33,55.6,1.2,6.3,1.86,4,Low
Jan,9,Perambur,48.64,8.09,66.7,2.7,15.4,0.72,14,Med
Jan,9,Mylapore,26.04,3.5,53.6,1.8,7.8,1.89,4,Med
Jan,9,Sholinganallur,30.76,5.52,57.2,1.9,12.3,0.79,10,Med
Jan,9,Tondiarpet,46.9,11.31,70.0,3.3,22.2,0.29,27,High
Jan,9,Anna Nagar,18.36,1.77,52.9,1.1,5.7,2.32,3,Low
Jan,9,Chromepet,38.27,5.69,57.3,2.8,13.1,0.75,9,High
Jan,9,Kodambakkam,32.0,4.49,61.5,1.7,11.1,0.96,8,Med
Jan,10,Korattur,49.81,8.81,67.0,2.8,17.3,0.48,23,High
Jan,10,Velachery,34.22,3.39,56.4,1.7,9.0,0.93,6,Med
Jan,10,Adyar,19.91,1.29,49.9,0.9,4.3,2.55,3,Low
Jan,10,Ambattur,63.73,10.3,66.0,4.7,23.9,0.22,32,Med
Jan,10,Nungambakkam,21.68,2.58,53.8,1.1,6.4,2.14,4,Low
Jan,10,Perambur,44.42,7.13,66.0,2.8,16.7,0.66,13,Med
Jan,10,Mylapore,27.2,3.24,56.5,1.6,7.8,1.88,6,Low
Jan,10,Sholinganallur,32.66,4.62,59.5,2.5,10.6,0.87,10,Med
Jan,10,Tondiarpet,46.71,10.12,70.0,4.0,22.7,0.36,23,High
Jan,10,Anna Nagar,20.89,2.1,53.5,1.0,4.8,2.61,2,Med
Jan,10,Chromepet,41.88,5.9,64.5,3.1,14.5,0.79,12,Med
Jan,10,Kodambakkam,32.91,4.13,59.4,2.2,10.7,1.19,9,Med
Jan,11,Korattur,45.41,7.14,68.0,3.3,20.5,0.37,18,High
Jan,11,Velachery,34.19,3.61,55.9,1.6,10.3,1.06,6,Med
Jan,11,Adyar,21.1,1.28,50.0,1.0,4.4,2.85,3,Low
Jan,11,Ambattur,51.76,11.2,62.9,4.7,24.7,0.25,26,High
Jan,11,Nungambakkam,22.71,2.56,55.5,1.1,6.5,2.03,4,Low
Jan,11,Perambur,41.73,6.34,58.2,3.5,15.6,0.67,15,Med
Jan,11,Mylapore,22.48,3.36,52.4,1.2,7.4,1.48,5,Low
Jan,11,Sholinganallur,31.7,5.35,57.2,2.0,12.5,0.76,10,Med
Jan,11,Tondiarpet,46.67,9.08,61.7,4.2,19.0,0.25,28,High
Jan,11,Anna Nagar,19.89,1.67,47.8,1.1,5.3,2.42,3,Low
Jan,11,Chromepet,37.95,4.69,59.9,3.1,12.4,0.94,13,Med
Jan,11,Kodambakkam,32.14,4.9,53.7,2.1,10.3,1.13,8,Med
Jan,12,Korattur,43.04,7.31,65.2,2.7,18.1,0.44,22,High
Jan,12,Velachery,34.97,3.93,56.3,2.0,8.7,1.25,7,Med
Jan,12,Adyar,20.43,1.59,48.1,0.9,4.0,2.26,3,Low
Jan,12,Ambattur,50.73,11.25,69.0,4.5,23.4,0.25,26,High
Jan,12,Nungambakkam,20.28,1.88,54.5,1.4,6.4,2.06,4,Low
Jan,12,Perambur,38.17,6.76,63.6,3.4,16.9,0.69,17,Med
Jan,12,Mylapore,25.08,3.13,52.1,1.6,6.9,1.51,5,Low
Jan,12,Sholinganallur,37.38,4.85,61.7,2.6,12.7,1.07,9,Med
Jan,12,Tondiarpet,45.04,11.52,68.5,3.6,19.7,0.34,24,High
Jan,12,Anna Nagar,17.89,2.14,52.0,1.0,4.9,2.32,2,Low
Jan,12,Chromepet,34.57,5.3,58.3,2.5,14.2,0.93,11,Med
Jan,12,Kodambakkam,28.18,3.68,58.8,2.2,10.0,1.12,8,Med
Jan,13,Korattur,45.99,9.4,60.1,3.2,18.1,0.45,21,High
Jan,13,Velachery,26.3,3.74,57.6,1.5,9.1,1.02,5,Med
Jan,13,Adyar,17.93,1.21,52.4,0.8,4.1,2.61,3,Low
Jan,13,Ambattur,63.05,9.77,71.1,3.9,22.8,0.25,35,High
Jan,13,Nungambakkam,23.61,2.37,51.8,1.1,5.7,1.86,4,Low
Jan,13,Perambur,47.34,8.22,57.9,3.5,14.9,0.65,14,Med
Jan,13,Mylapore,24.76,2.87,53.1,1.3,7.4,1.51,5,Low
Jan,13,Sholinganallur,33.08,5.11,61.8,2.6,10.9,0.81,8,Med
Jan,13,Tondiarpet,56.6,10.53,61.7,4.4,21.0,0.35,28,High
Jan,13,Anna Nagar,23.67,1.93,52.6,1.1,5.6,2.32,2,Low
Jan,13,Chromepet,37.14,5.07,57.7,2.2,13.7,0.78,11,Med
Jan,13,Kodambakkam,35.79,3.56,61.1,2.4,10.7,1.05,8,Med
Jan,14,Korattur,53.67,9.84,63.5,3.7,19.5,0.39,21,High
Jan,14,Velachery,26.45,3.33,60.3,1.8,9.9,1.16,5,Med
Jan,14,Adyar,18.55,1.44,50.6,0.8,4.1,2.21,3,Low
Jan,14,Ambattur,59.45,12.75,68.8,3.9,23.2,0.22,29,High
Jan,14,Nungambakkam,24.18,2.53,55.6,1.2,6.4,1.71,3,Med
Jan,14,Perambur,45.61,6.86,62.9,3.6,15.2,0.6,16,Med
Jan,14,Mylapore,27.59,3.41,56.7,1.6,7.4,1.89,5,Low
Jan,14,Sholinganallur,33.22,4.18,56.1,2.7,11.5,0.84,8,Med
Jan,14,Tondiarpet,57.92,8.54,67.9,4.5,22.6,0.26,24,High
Jan,14,Anna Nagar,18.68,1.81,48.7,1.2,5.5,2.48,2,Low
Jan,14,Chromepet,36.79,5.81,57.3,2.6,13.1,0.92,11,Med
Jan,14,Kodambakkam,30.69,4.67,57.5,2.4,10.2,1.24,9,Med
Jan,15,Korattur,46.12,8.24,64.3,3.9,20.1,0.47,19,High
Jan,15,Velachery,31.74,4.41,57.2,1.6,10.1,1.32,5,Med
Jan,15,Adyar,17.61,1.68,47.6,0.9,4.6,2.15,3,Low
Jan,15,Ambattur,49.55,9.69,67.2,4.2,27.7,0.2,26,Med
Jan,15,Nungambakkam,25.45,2.32,55.0,1.1,6.0,2.26,4,Low
Jan,15,Perambur,45.7,7.01,57.0,2.5,15.0,0.71,14,Med
Jan,15,Mylapore,26.47,2.62,52.8,1.4,6.7,1.73,5,Low
Jan,15,Sholinganallur,30.6,5.41,59.7,1.9,11.6,0.85,8,Med
Jan,15,Tondiarpet,54.31,9.04,64.2,4.2,19.3,0.37,22,High
Jan,15,Anna Nagar,21.05,2.22,51.9,1.0,5.2,2.32,3,Low
Jan,15,Chromepet,32.31,6.03,58.4,2.9,14.0,0.93,12,Med
Jan,15,Kodambakkam,28.1,4.27,60.6,1.8,11.1,1.04,8,Med
Jan,16,Korattur,53.96,7.26,66.9,3.2,18.1,0.34,19,High
Jan,16,Velachery,34.41,3.91,61.1,1.9,9.0,1.27,5,Med
Jan,16,Adyar,20.49,1.66,49.0,0.8,4.1,2.79,3,Low
Jan,16,Ambattur,55.79,13.52,67.2,4.7,27.3,0.21,34,High
Jan,16,Nungambakkam,20.18,2.29,55.2,1.3,6.1,1.66,4,Low
Jan,16,Perambur,44.38,6.95,63.8,2.9,14.3,0.72,13,Low
Jan,16,Mylapore,27.35,3.36,50.7,1.6,7.2,1.79,5,Low
Jan,16,Sholinganallur,29.78,5.32,60.5,2.2,10.7,0.85,9,Med
Jan,16,Tondiarpet,59.58,8.3,61.5,3.9,20.5,0.31,22,High
Jan,16,Anna Nagar,20.16,1.76,49.6,1.2,4.8,1.93,3,Low
Jan,16,Chromepet,33.47,6.0,61.8,2.3,14.0,0.91,13,Med
Jan,16,Kodambakkam,28.99,3.56,54.7,2.3,11.5,1.18,9,Low
Jan,17,Korattur,52.45,8.76,61.9,3.0,17.6,0.46,23,High
Jan,17,Velachery,29.18,3.5,61.1,2.1,8.9,1.15,5,Med
Jan,17,Adyar,18.72,1.73,47.4,1.1,3.8,2.32,3,Low
Jan,17,Ambattur,56.2,11.17,68.0,4.0,24.3,0.17,31,High
Jan,17,Nungambakkam,20.52,2.47,52.9,1.3,6.6,1.7,4,Low
Jan,17,Perambur,47.33,7.19,60.0,2.6,17.1,0.56,17,Med
Jan,17,Mylapore,24.55,2.58,52.0,1.7,7.0,1.87,5,Low
Jan,17,Sholinganallur,36.12,4.88,59.6,2.0,11.8,1.1,8,Med
Jan,17,Tondiarpet,45.27,11.28,60.7,4.7,22.1,0.29,23,High
Jan,17,Anna Nagar,21.74,1.57,54.6,1.1,5.4,2.03,2,Low
Jan,17,Chromepet,36.74,5.37,61.7,2.3,13.4,0.83,10,Med
Jan,17,Kodambakkam,36.08,3.93,62.3,2.0,10.3,1.16,8,Med
Jan,18,Korattur,45.53,7.44,63.5,2.8,17.2,0.49,24,High
Jan,18,Velachery,34.68,4.45,59.5,2.2,9.9,1.01,5,Low
Jan,18,Adyar,18.89,1.37,46.5,1.1,4.2,2.87,2,Low
Jan,18,Ambattur,49.96,11.53,71.3,5.0,25.1,0.21,35,High
Jan,18,Nungambakkam,25.75,2.39,54.7,1.2,6.2,2.05,3,Low
Jan,18,Perambur,37.54,7.15,64.6,2.8,17.3,0.68,12,Low
Jan,18,Mylapore,25.25,3.58,55.1,1.4,6.8,1.86,5,Low
Jan,18,Sholinganallur,29.86,5.09,61.7,2.3,10.7,1.09,8,Low
Jan,18,Tondiarpet,47.18,11.74,67.6,3.7,20.3,0.36,26,High
Jan,18,Anna Nagar,19.74,2.1,50.4,1.1,5.8,2.28,3,Low
Jan,18,Chromepet,39.93,4.53,59.6,3.1,14.4,0.93,11,Med
Jan,18,Kodambakkam,33.37,3.7,58.9,2.2,11.2,0.9,8,Med
Jan,19,Korattur,55.99,7.4,59.1,3.0,17.6,0.45,21,High
Jan,19,Velachery,34.29,4.41,58.8,1.6,8.8,1.02,5,Med
Jan,19,Adyar,19.04,1.37,47.8,1.1,4.1,2.27,3,Low
Jan,19,Ambattur,60.23,12.35,68.4,4.1,23.9,0.21,28,Med
Jan,19,Nungambakkam,21.7,2.04,50.0,1.4,6.1,1.87,4,Low
Jan,19,Perambur,40.12,6.17,63.7,2.9,17.3,0.71,17,Med
Jan,19,Mylapore,24.6,2.81,56.5,1.4,7.3,1.61,5,Low
Jan,19,Sholinganallur,35.05,5.46,60.6,2.0,11.8,0.98,8,Med
Jan,19,Tondiarpet,52.99,10.47,60.4,3.9,21.9,0.26,28,High
Jan,19,Anna Nagar,21.32,2.18,50.7,1.2,5.7,2.19,2,Med
Jan,19,Chromepet,35.77,5.75,63.8,2.2,13.8,0.85,12,High
Jan,19,Kodambakkam,31.75,4.71,61.8,1.7,11.2,1.17,7,Med
Jan,20,Korattur,54.86,7.96,59.3,3.0,19.3,0.49,20,High
Jan,20,Velachery,31.74,3.92,60.2,1.6,9.5,1.05,7,Med
Jan,20,Adyar,20.21,1.55,52.2,0.8,4.1,2.22,3,Low
Jan,20,Ambattur,59.67,12.13,66.2,4.6,24.3,0.2,26,Med
Jan,20,Nungambakkam,22.94,2.55,48.4,1.2,6.2,1.81,3,Low
Jan,20,Perambur,43.99,6.53,60.6,2.7,16.3,0.62,12,Med
Jan,20,Mylapore,29.58,3.47,57.0,1.6,7.5,2.1,5,Low
Jan,20,Sholinganallur,39.4,4.69,58.4,2.8,11.3,1.02,10,Med
Jan,20,Tondiarpet,57.26,11.14,67.8,4.3,21.4,0.35,26,High
Jan,20,Anna Nagar,20.13,2.17,48.3,1.2,5.7,1.94,3,Low
Jan,20,Chromepet,41.82,5.35,61.6,2.9,13.6,0.97,11,Med
Jan,20,Kodambakkam,28.96,4.07,58.3,2.1,10.9,0.97,6,Med
Jan,21,Korattur,41.99,7.74,59.7,3.2,19.7,0.43,18,High
Jan,21,Velachery,34.89,3.85,54.8,1.6,8.8,1.22,6,Low
Jan,21,Adyar,21.69,1.41,53.4,1.1,4.1,2.59,3,Low
Jan,21,Ambattur,60.41,10.92,63.7,4.8,25.4,0.23,28,High
Jan,21,Nungambakkam,19.79,2.04,54.0,1.3,6.3,2.25,3,Low
Jan,21,Perambur,40.15,8.26,64.2,2.6,16.7,0.61,16,Med
Jan,21,Mylapore,22.44,2.72,51.1,1.2,7.5,1.93,4,Low
Jan,21,Sholinganallur,33.63,4.27,56.1,2.6,10.5,0.95,8,Med
Jan,21,Tondiarpet,56.15,9.32,66.1,4.3,20.2,0.29,22,High
Jan,21,Anna Nagar,19.24,1.75,47.8,1.2,5.7,2.57,3,Low
Jan,21,Chromepet,37.75,6.39,64.1,2.8,14.4,0.78,11,Med
Jan,21,Kodambakkam,31.34,4.58,57.5,2.4,10.1,1.14,9,Med
Jan,22,Korattur,50.27,10.06,64.6,2.8,17.9,0.37,23,Med
Jan,22,Velachery,33.62,3.32,58.7,1.7,9.0,1.24,6,Med
Jan,22,Adyar,17.13,1.61,52.2,1.0,4.2,2.77,2,Med
Jan,22,Ambattur,49.35,13.37,72.2,4.0,27.7,0.21,28,High
Jan,22,Nungambakkam,21.05,2.53,52.9,1.4,6.2,2.02,3,Low
Jan,22,Perambur,43.22,7.13,58.0,3.6,15.7,0.72,16,Med
Jan,22,Mylapore,25.57,3.11,52.2,1.3,7.0,2.1,5,Low
Jan,22,Sholinganallur,31.04,4.44,57.7,2.6,11.6,1.0,10,Med
Jan,22,Tondiarpet,57.57,11.65,66.6,4.0,19.6,0.35,23,High
Jan,22,Anna Nagar,20.93,2.17,51.8,1.1,4.8,1.79,3,Med
Jan,22,Chromepet,39.71,5.98,59.0,3.0,12.9,0.91,9,Med
Jan,22,Kodambakkam,31.31,4.38,59.3,2.2,10.5,1.04,6,Med
Jan,23,Korattur,42.12,8.7,61.7,3.9,17.1,0.47,23,High
Jan,23,Velachery,34.19,3.34,53.0,1.6,8.9,1.17,7,Med
Jan,23,Adyar,18.32,1.4,49.6,1.0,4.6,2.15,3,Low
Jan,23,Ambattur,60.41,13.04,70.0,4.0,24.6,0.21,26,High
Jan,23,Nungambakkam,20.82,2.2,51.9,1.4,6.4,2.28,3,Low
Jan,23,Perambur,37.14,6.4,65.6,3.5,15.7,0.52,12,Med
Jan,23,Mylapore,29.39,3.11,50.5,1.7,7.1,2.11,5,Low
Jan,23,Sholinganallur,36.86,4.55,54.8,2.0,10.9,1.07,9,Med
Jan,23,Tondiarpet,49.85,10.89,61.4,4.8,21.9,0.32,30,High
Jan,23,Anna Nagar,20.6,2.12,50.1,1.2,5.7,2.11,3,Low
Jan,23,Chromepet,35.23,6.43,59.8,2.5,14.8,0.82,12,Med
Jan,23,Kodambakkam,28.5,4.38,60.5,2.3,9.6,0.9,9,Med
Jan,24,Korattur,52.9,8.04,60.0,2.6,18.2,0.4,20,High
Jan,24,Velachery,27.59,3.81,57.2,1.8,8.6,1.09,5,Med
Jan,24,Adyar,17.9,1.41,48.7,0.9,3.9,2.8,3,Med
Jan,24,Ambattur,59.0,10.18,65.9,4.0,24.2,0.21,26,High
Jan,24,Nungambakkam,22.55,2.19,49.0,1.1,6.0,2.09,4,Low
Jan,24,Perambur,37.97,6.64,66.4,2.8,16.1,0.71,13,Med
Jan,24,Mylapore,28.73,3.44,58.7,1.3,7.1,2.1,4,Low
Jan,24,Sholinganallur,39.48,5.52,56.8,2.5,11.5,0.97,8,Med
Jan,24,Tondiarpet,57.48,9.59,61.1,4.1,21.4,0.32,27,High
Jan,24,Anna Nagar,23.85,1.86,53.2,1.0,5.0,2.38,3,Low
Jan,24,Chromepet,36.77,5.46,61.1,2.4,14.1,0.91,12,Med
Jan,24,Kodambakkam,37.34,4.17,56.8,2.1,11.4,1.13,8,Med
Jan,25,Korattur,47.27,9.84,64.4,3.4,17.3,0.47,23,High
Jan,25,Velachery,31.79,3.25,61.1,2.0,9.3,1.27,7,Med
Jan,25,Adyar,16.12,1.34,50.5,0.9,4.3,2.49,3,Low
Jan,25,Ambattur,62.47,11.92,67.2,4.4,22.8,0.18,30,Med
Jan,25,Nungambakkam,20.44,2.55,49.5,1.2,6.2,1.76,4,Low
Jan,25,Perambur,42.25,7.65,60.2,2.8,16.7,0.53,16,Med
Jan,25,Mylapore,27.64,2.68,58.8,1.3,6.9,1.54,5,Med
Jan,25,Sholinganallur,31.86,4.56,55.8,2.4,11.4,0.77,9,Med
Jan,25,Tondiarpet,53.95,9.58,67.2,3.5,22.1,0.35,22,High
Jan,25,Anna Nagar,23.34,1.68,50.0,1.0,5.0,2.52,3,Low
Jan,25,Chromepet,38.9,5.68,60.7,2.5,14.6,0.88,12,Med
Jan,25,Kodambakkam,30.57,4.37,53.9,1.8,9.7,0.97,7,Med
Jan,26,Korattur,49.51,8.36,60.3,3.1,17.7,0.44,23,High
Jan,26,Velachery,35.02,3.96,56.6,1.6,9.1,1.13,5,Med
Jan,26,Adyar,16.12,1.28,52.9,1.1,4.2,2.41,3,Low
Jan,26,Ambattur,63.64,11.5,62.7,3.8,26.5,0.19,28,High
Jan,26,Nungambakkam,20.8,2.17,54.5,1.4,6.4,1.69,3,Low
Jan,26,Perambur,47.23,6.8,65.2,2.5,16.4,0.64,17,Med
Jan,26,Mylapore,28.85,3.32,52.8,1.8,7.3,1.68,5,Low
Jan,26,Sholinganallur,39.78,5.19,56.3,2.6,11.8,0.89,10,Med
Jan,26,Tondiarpet,47.24,8.68,62.0,3.5,19.1,0.3,24,High
Jan,26,Anna Nagar,19.89,2.03,49.7,0.9,5.6,2.63,3,Low
Jan,26,Chromepet,43.05,6.02,63.9,3.1,14.7,0.71,13,Med
Jan,26,Kodambakkam,34.61,4.7,60.2,2.2,10.5,1.08,7,Med
Jan,27,Korattur,48.64,9.02,68.0,2.7,19.0,0.38,25,High
Jan,27,Velachery,34.56,3.64,52.2,2.1,9.9,1.26,6,Med
Jan,27,Adyar,18.1,1.24,50.7,0.8,4.1,2.14,2,Low
Jan,27,Ambattur,54.94,11.87,67.9,4.7,24.4,0.23,26,High
Jan,27,Nungambakkam,25.07,2.17,49.3,1.4,6.2,1.6,4,Low
Jan,27,Perambur,45.49,6.19,63.4,2.6,17.1,0.57,15,Med
Jan,27,Mylapore,25.24,3.49,51.7,1.4,7.1,1.93,4,Low
Jan,27,Sholinganallur,36.77,3.88,58.6,2.0,10.9,1.01,7,Med
Jan,27,Tondiarpet,57.49,11.73,64.3,3.4,19.2,0.3,28,High
Jan,27,Anna Nagar,19.82,2.15,48.5,1.2,5.5,1.88,3,Low
Jan,27,Chromepet,38.15,4.49,61.3,2.6,14.3,0.88,10,Med
Jan,27,Kodambakkam,34.37,4.74,53.9,1.8,11.0,1.09,8,Low
Jan,28,Korattur,53.66,7.83,65.5,2.9,19.3,0.46,20,Med
Jan,28,Velachery,26.13,4.37,60.1,1.7,9.7,1.01,6,Med
Jan,28,Adyar,20.51,1.63,48.3,0.9,4.0,2.55,2,Low
Jan,28,Ambattur,49.3,10.97,65.2,4.5,26.9,0.2,32,High
Jan,28,Nungambakkam,22.9,2.59,48.9,1.3,5.7,1.77,4,Med
Jan,28,Perambur,41.73,6.59,64.1,3.4,15.5,0.61,15,Med
Jan,28,Mylapore,23.51,2.59,50.9,1.7,8.1,1.54,4,Low
Jan,28,Sholinganallur,37.39,4.98,60.1,2.1,11.4,1.12,8,Med
Jan,28,Tondiarpet,59.19,8.6,66.3,3.3,21.7,0.33,23,High
Jan,28,Anna Nagar,18.71,1.56,51.4,1.0,5.3,2.49,2,Low
